"","SettlementPoint","Year","Month","AveragePrice"
"526","LZ_NORTH",2019,1,24.3678360215054
"527","LZ_NORTH",2019,2,20.8511458333333
"528","LZ_NORTH",2019,3,28.5940376850606
"529","LZ_NORTH",2019,4,23.7184305555556
"530","LZ_NORTH",2019,5,24.0114516129032
"531","LZ_NORTH",2019,6,25.2079166666667
"532","LZ_NORTH",2019,7,29.8349462365591
"533","LZ_NORTH",2019,8,126.600913978495
"534","LZ_NORTH",2019,9,80.7741527777778
"535","LZ_NORTH",2019,10,28.7329435483871
"536","LZ_NORTH",2019,11,24.1536111111111
"537","LZ_NORTH",2019,12,19.0068010752688
"538","LZ_RAYBN",2016,1,19.4479435483871
"539","LZ_RAYBN",2016,2,15.4004310344828
"540","LZ_RAYBN",2016,3,17.1172409152086
"541","LZ_RAYBN",2016,4,18.8553611111111
"542","LZ_RAYBN",2016,5,18.3209946236559
"543","LZ_RAYBN",2016,6,23.3159444444444
"544","LZ_RAYBN",2016,7,27.4710752688172
"545","LZ_RAYBN",2016,8,30.1497580645161
"546","LZ_RAYBN",2016,9,26.4702638888889
"547","LZ_RAYBN",2016,10,24.4525134408602
"548","LZ_RAYBN",2016,11,18.8753194444444
"549","LZ_RAYBN",2016,12,25.3195564516129
"550","LZ_RAYBN",2017,1,23.3901075268817
"551","LZ_RAYBN",2017,2,20.3691517857143
"552","LZ_RAYBN",2017,3,21.9071601615074
"553","LZ_RAYBN",2017,4,22.2134305555556
"554","LZ_RAYBN",2017,5,24.0013306451613
"555","LZ_RAYBN",2017,6,26.1250416666667
"556","LZ_RAYBN",2017,7,30.760497311828
"557","LZ_RAYBN",2017,8,26.8248252688172
"558","LZ_RAYBN",2017,9,23.5356805555556
